2025-10-17 23:06:55,626 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:07:16,201 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-17 23:07:16,679 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:07:19,045 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17.788345, end: 2025-10-17 23:07:13.260740)
2025-10-17 23:07:25,641 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:07:28,027 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17.788345, end: 2025-10-17 23:07:23.264390)
2025-10-17 23:07:30,616 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:07:32,971 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17.788345, end: 2025-10-17 23:07:28.271388)
2025-10-17 23:07:35,608 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:07:37,958 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17.788345, end: 2025-10-17 23:07:33.261313)
2025-10-17 23:08:19,236 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-17 23:08:20,639 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:08:25,621 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:08:50,066 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-17 23:08:50,620 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:08:55,619 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:10:15,954 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-17 23:10:16,173 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:10:40,427 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2025-10-17 23:10:30, end: 2025-10-17 23:10:35)
2025-10-17 23:11:11,213 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-17 23:11:15,394 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2015-10-17 23:10:30, end: 2025-10-17 23:11:10)
2025-10-17 23:11:20,407 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2015-10-17 23:10:30, end: 2025-10-17 23:11:15)
2025-10-17 23:12:01,872 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-17 23:12:05,412 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2015-10-17 23:10:30, end: 2025-10-17 23:12:00)
2025-10-30 02:11:43,511 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-30 08:31:57,872 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-30 08:34:14,621 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-30 08:40:11,812 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-30 08:40:21,484 - basicLogger - DEBUG - Found 25 PassengerCountEvent readings (start: 2016-08-29 09:12:33.001000+00:00, end: 2030-01-01 00:00:00+00:00)
2025-10-30 08:40:34,312 - basicLogger - DEBUG - Found 50 WaitTimeEvent readings (start: 2016-08-29 09:12:33.001000+00:00, end: 2030-01-01 00:00:00+00:00)
2025-10-30 09:00:02,817 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-30 09:00:27,723 - basicLogger - DEBUG - Found 0 PassengerCountEvent readings (start: 2025-10-30 09:00:21, end: 2025-10-30 09:00:26)
2025-10-30 09:00:28,796 - basicLogger - DEBUG - Found 0 WaitTimeEvent readings (start: 2025-10-30 09:00:21, end: 2025-10-30 09:00:26)
2025-10-30 09:00:32,456 - basicLogger - DEBUG - Found 0 PassengerCountEvent readings (start: 2025-10-30 09:00:26, end: 2025-10-30 09:00:31)
2025-10-30 09:00:33,523 - basicLogger - DEBUG - Found 0 WaitTimeEvent readings (start: 2025-10-30 09:00:26, end: 2025-10-30 09:00:31)
2025-10-30 09:00:37,504 - basicLogger - DEBUG - Found 0 PassengerCountEvent readings (start: 2025-10-30 09:00:31, end: 2025-10-30 09:00:36)
2025-10-30 09:00:38,572 - basicLogger - DEBUG - Found 0 WaitTimeEvent readings (start: 2025-10-30 09:00:31, end: 2025-10-30 09:00:36)
2025-10-30 09:00:42,464 - basicLogger - DEBUG - Found 0 PassengerCountEvent readings (start: 2025-10-30 09:00:36, end: 2025-10-30 09:00:41)
2025-10-30 09:00:43,537 - basicLogger - DEBUG - Found 0 WaitTimeEvent readings (start: 2025-10-30 09:00:36, end: 2025-10-30 09:00:41)
2025-10-30 09:00:47,484 - basicLogger - DEBUG - Found 0 PassengerCountEvent readings (start: 2025-10-30 09:00:41, end: 2025-10-30 09:00:46)
2025-10-30 09:00:48,552 - basicLogger - DEBUG - Found 0 WaitTimeEvent readings (start: 2025-10-30 09:00:41, end: 2025-10-30 09:00:46)
2025-10-30 09:00:52,475 - basicLogger - DEBUG - Found 0 PassengerCountEvent readings (start: 2025-10-30 09:00:46, end: 2025-10-30 09:00:51)
2025-10-30 09:00:53,529 - basicLogger - DEBUG - Found 0 WaitTimeEvent readings (start: 2025-10-30 09:00:46, end: 2025-10-30 09:00:51)
